1.375539,9.753876,3.947042,-3.114872,2.085963,4.469172
0.611749,19.6137,-3.307758,-2.29647,2.61807,4.164235
-0.275347,19.6137,-3.558563,-1.041303,0.518136,1.732199
-2.942623,19.6137,-3.298779,-0.066305,-0.425968,-0.786922
-1.925036,17.840106,-0.997834,1.66877,-0.431561,-2.859426
-1.711342,13.542893,1.255224,2.159598,-1.317874,-3.228546
-3.225154,8.510624,4.659952,2.812615,-2.024954,-3.569702
-4.624636,1.626943,7.512789,3.219286,-1.671015,-3.475424
-7.230259,-6.541292,10.948045,1.780358,-1.785532,-3.030403
-8.03954,-11.773488,11.993766,0.773668,-0.535159,-1.674834
-7.603773,-12.410378,11.784862,0.57446,-0.035809,-0.763752
-6.80347,-10.405132,10.387774,-0.728377,0.822806,0.763859
-4.636009,-6.042075,7.428389,-2.414184,2.039623,2.172426
-1.386313,-0.696748,5.874473,-3.24457,2.001007,3.527463
1.498248,9.59645,2.660692,-3.033911,1.863586,4.553861
1.410256,17.807784,-0.475871,-2.798218,2.142689,4.645476
0.718895,19.6137,-3.595675,-1.765428,1.124547,2.916791
-2.863611,19.6137,-2.837273,-0.050326,-0.561791,0.002183
-2.142321,19.6137,-2.418267,1.393927,-0.026221,-2.67167
-2.032182,12.309816,1.275576,2.826464,-1.571677,-3.524694
-3.329307,6.117497,4.049399,3.405976,-1.820154,-3.574762
-4.231368,2.618791,5.236386,3.17987,-1.766357,-3.426155
-6.329395,-4.28524,8.736887,2.242423,-2.283285,-3.107903
-7.255399,-11.58733,11.443071,1.535876,-1.203357,-1.882563
-6.7909,-12.135031,11.887817,0.214395,-0.314113,-0.247624
-5.96426,-9.892747,10.492525,-1.378465,0.857428,1.277324
-5.345926,-7.531345,9.11938,-2.252528,1.413771,2.048055
-2.806746,-2.60263,7.560675,-3.151891,1.735752,3.410815
0.578827,8.594425,5.531486,-3.33725,1.651861,4.537883
0.331613,19.6137,-2.014224,-2.411254,2.47772,4.057441
-1.607788,19.6137,-4.713226,-0.499342,1.120552,1.481059
-3.200612,19.6137,-5.450079,0.279111,0.290432,-0.064396
